State_ab,Mean
DC,90668.421875
CT,89732.75637393768
NJ,89565.401592719
MD,88444.24784853701
MA,85645.65963855422
HI,82650.94615384615
VA,80426.27870967743
AK,79178.36893203884
CA,78654.29711479435
NY,77859.33632923369
NH,76698.9923076923
WA,75049.1089837997
CO,73884.68199233717
RI,72971.1743119266
UT,72970.96124031008
MN,71627.48513302034
DE,70948.57471264368
WY,70367.36111111111
IL,69358.19157894737
NV,66690.77394636015
TX,66388.40423654015
PA,65276.99522510232
ND,65137.06722689076
WI,64526.2
VT,63966.170731707316
OR,63597.04909560723
AZ,63400.11494252874
IA,62707.26710816777
NE,61944.63868613139
KS,61867.2
FL,61517.50912408759
ME,60708.52229299363
GA,60576.55460122699
MI,60180.121633362294
OH,59942.47207743857
SD,59675.608
IN,59237.97724039829
NC,58582.42350332594
MT,57740.69387755102
NM,57366.10041841004
MO,57164.8674351585
ID,56976.22448979592
TN,56925.192371475954
LA,56202.156746031746
SC,56081.79605263158
KY,55473.39595959596
OK,55351.964435146445
AL,54023.752873563215
WV,52291.99596774193
AR,52213.93215339233
MS,49385.55031446541
PR,27841.717741935485
